title,description,author,gender
Livro 3,Descrição do Livro 3,9,4
1984,George Orwell,1,1
Duna,Frank Herbert,2,1
O Senhor dos Anéis,J.R.R. Tolkien,3,2
1984,George Orwell,1,1
Duna,Frank Herbert,2,1
O Senhor dos Anéis,J.R.R. Tolkien,3,2
1984,George Orwell,1,1
Duna,Frank Herbert,2,1
O Senhor dos Anéis,J.R.R. Tolkien,3,2
1984,George Orwell,1,1
Duna,Frank Herbert,2,1
1984,George Orwell,1,1
Duna,Frank Herbert,2,1
O Senhor dos Anéis,J.R.R. Tolkien,3,2
string123test,string123test,1,1
Instituto Joga Junto - Quarta Edição,Esse livro conta a história do projeto social Instituto Joga Junto,20,9
Instituto Joga Junto - Quarta Edição,Esse livro conta a história do projeto social Instituto Joga Junto,20,9
Nome do livro,Esse livro conta a história do projeto social Instituto Joga Junto,20,9
Nome do livro,Esse livro conta a história do projeto social Instituto Joga Junto,20,9
Vida no Bonete,Como viver comendo peixe e só usar chinelo. Além de viver em cima de uma prancha o dia inteiro.,68,57
1984,George Orwell,1,1
Duna,Frank Herbert,2,1
O Senhor dos Anéis,J.R.R. Tolkien,3,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
A arte da guerra,"A Arte da Guerra é um antigo tratado militar chinês que data do fim do período das Primaveras e Outonos (aproximadamente século V a.C.). A obra, que é atribuída ao antigo estrategista militar chinês Sun Tzu (""Mestre Sun""), é composta por treze capítulos. Cada um é dedicado a um conjunto diferente de habilidades ou arte relacionadas à guerra e como isso se aplica à estratégia e tática militar.",116,110
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
teste,teste,1,1
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
a,b,1,2
a,b,1,2
c,d,3,1
g,h,5,4
a,b,1,2
c,d,3,1
g,h,5,4
a,b,1,2
c,d,3,1
g,h,5,4
a,b,1,2
c,d,3,1
g,h,5,4
a,b,1,2
c,d,3,1
g,h,5,4
a,b,1,2
c,d,3,1
g,h,5,4
a,b,1,2
c,d,3,1
g,h,5,4
a,b,1,2
c,d,3,1
g,h,5,4
"Phyton, é mais fácil que JAVA",Aprender Python é mais legal,1,1
A grande História do IJJ,O IJJ tem tem uma grande história para contar,2,2
mr. mercedes,"é uma corrida contra o tempo, para encontrar tres assassinos improvaveis.",5,10
eclipse,é um livro de um vampiro que brilha no sol que se apaixona por uma humana,23,11
amanhecer,é a historia de casamento do vampiro que brilha com a humana que nao tem expressoes,23,7
casamento blindado,é um livro que te ajuda a ter um casamento abençoado,24,12
O queijo e os vermes,O livro retrata o cotidiano e as ideias de um moleiro perseguido pela Inquisição.,8,9
O queijo e os vermes,O livro retrata o cotidiano e as ideias de um moleiro perseguido pela Inquisição.,8,9
O Xângo de Baker Street,Mistérios e suspense nesse romance de Jô Soares.,9,8
Teste Book tomo 1,Teste desc book 1,9,8
Teste Book tomo 2,Teste desc book 2,9,8
Teste Book tomo 3,Teste desc book 3,8,9
Teste Book tomo 4,Teste desc book 4,8,9
Teste Book tomo 6,Teste desc book 6,8,9
um marido de faz de conta,a mulher pega um cara desmemorizado e chama de marido. o cara,1,1
Teste Book tomo 4,Teste desc book 4,8,9
Contos da meia noite,Terror e suspense na madrugada.,8,9
o céu vai pegar fogo,é um livro sobre o apocalipse,24,17
pecados no inverno,a,31,2
a tempestade a cobra e a ilha,é um livro que ajuda a entender as lutas da vida,33,17
lua nova,"é um livro sobre vampiros, lobos e uma humana",23,19
Quincas Berro D'agua.,Obra prima de Jorga Amado.,8,9
harry potter e a pedra filosofal,"é o livro sobre um porquinho que foi deixado em um cesto, na porta da casa de seus tios, após seus pais serem mortos por uma criatura sem nariz.",1,22
O Caminho de um Artista.,"O caminho do artista é um guia para desbloquear a criatividade e recuperar a conexão com o lado artístico. Através de práticas diárias como as Páginas Matinais e exercícios de reflexão, o livro ajuda a superar bloqueios criativos, medos e autossabotagem, incentivando uma vida mais autêntica e criativa.",226,193
A capa secreta.,"Inspirador, corajoso, irreverente e brutal, A culpa é da capa é a obra mais ambiciosa e emocionante de Maria Isabel, sobre a alegria e a tragédia que é viver e sonhar.",227,194
harry doidao 2.0,é uma linda historia de amor!,2,23
harry potter e a peadra filosofal,é um livro sobre um bruxo,1,23
Digitized executive toolset,Gun activity leave show. Hot indicate include development site. Truth not thought left mother sometimes.,38,24
Monitored demand-driven infrastructure,Tree society cup. Week action citizen loss what anyone economic. As test south grow.,38,24
Upgradable multi-state encryption,Hotel support study similar way. Occur stuff several former national television. Economic window account care bit.,38,24
Capitães de Areia,"Ele conta a história de meninos em situação de rua, na cidade de Salvador de inícios do século XX. Eles são os Capitães da Areia, vivem em um trapiche e, completamente marginalizados, sobrevivem por meio de furtos.[Team Fênix]",29,25
Mar morto,"O livro trata, da vida e morte do personagem Guma, que o autor descreve como sendo uma história que se conta nos cais baianos, uma lenda, como ele mesmo diz no final do livro: ""assim contam os homens do mar"".[Team Fênix]",29,25
Dione,Corram que o Python vem ai!,1,2
Dom Casmurro,"Dom Casmurro, conta a história de Bentinho e Capitu, que, apaixonados na adolescência, têm que enfrentar um obstáculo à realização de seus anseios amorosos, pois a mãe de Bentinho, D. Glória, fez uma promessa de que seu filho seria padre.[Team Fênix]",39,25
string123test,string123test,1,1
Teste29/11,lorem ipsum blá blá blá blá,1,1
Teste 002 29/11,lorem ipsum blá blá blá blá,1,2
Teste 003 29/11,lorem ipsum blá blá blá blá,1,2
Teste 003 29/11,lorem ipsum blá blá blá blá,10,2
Teste 004 29/11,lorem ipsum blá blá blá blá,10,2
Maior do Brasil e Do mundo!!!,Palmeiras maior campeão do brasil!!!.,243,211
Teste 30/11,Livro de teste,41,28
Bahia.,"romance, terror,paz,amor",230,213
Teste 002 30/11,Livro de teste,41,29
O Nome do Vento,Aventura dark fantasy,46,32
Livro Ilhabela,Ilhabela QA,50,41
As Constelações e a Planetas,Este livro indicara a relação entre os signos e os planetas,47,31
Livro ficticío Ilhabela Tarde,Livro ficticio turma da tarde.,46,30
simplesmente acontece,"você não precisa ir tão longe para encontrar oque mais procura, Alex e Rosie são amigos inseparaveis que cresceram juntos em londres, compartilhando entre si suas melhores experiencias. Tudo muda quando Alex ganha uma bolsa de estudos e passa a morar nos EUA",43,34
Livro Ilhabela,Ilhabela QA,50,41
A vida e as andanças do Dehcão,A historia de terror da vida do Dehco,58,43
Meu Escritório é na Praia,Vida de um Trabalhador com seus sonhos,64,51
QAckers o Começo,Inicio de uma startup,56,44
minha vida na ilhatech,funcionamento dentro do curso da ilhatech,69,59
A capa secreta2.,"Inspirador, corajoso, irreverente e brutal, A culpa é da capa é a obra mais ambiciosa e emocionante de Maria Isabel, sobre a alegria e a tragédia que é viver e sonhar.",227,194
QAckers o Começo,Inicio de uma startup,56,44
Salvador,string,53,30
Como Eu Era Antes de Você.,"Inspirador, amoroso, impaciente e brutal, Como eu era antes de você é a obra que tem mais emocão e amor de Jojo Moyes, sobre o amor e a tragédia que é viver e amar.",52,58
ragna,um aumano que mata dragoes,65,55
Alice no país das maravilhas,As aventuras da personagem Alice,67,56
Alice no país das maravilhas,As aventuras da personagem Alice,67,56
crepusculo,vampiros,63,60
Alice no país das maravilhas,As aventuras da personagem Alice,67,56
Tensei Shitara Slime Datta Ken,"Sinopse. Solitário de trinta e sete anos de idade Satoru Mikami está preso em um trabalho sem saída, descontente com sua vida mundana, mas depois de morrer nas mãos de um ladrão, ele desperta para um novo começo em um reino de fantasia... como um monstro slime!",70,49
O amor nos tempos do cólera,"Em O Amor Nos Tempos do Cólera, García Márquez utiliza a sua própria vivência amorosa e a de seus pais, para criar um romance inspirado nas angústias do primeiro amor e na potência desse sentimento. Uma história que não é incomum aos nossos ouvidos e existência",59,52
A vida e as andanças do Dehcão,A historia de terror da vida do Dehco,58,47
Tensei Shitara Slime Datta Ken,"Sinopse. Solitário de trinta e sete anos de idade Satoru Mikami está preso em um trabalho sem saída, descontente com sua vida mundana, mas depois de morrer nas mãos de um ladrão, ele desperta para um novo começo em um reino de fantasia... como um monstro slime!",70,49
Alice no país das maravilhas,As aventuras da personagem Alice,67,56
paia,super legal,55,45
Alice no país das maravilhas,As aventuras da personagem Alice,67,56
Alice no país das maravilhas,As aventuras da personagem Alice,67,56
paia,super legal,55,45
A Vida do Zé Chinelão,"Onde Vive, do que se alimenta?",56,44
A maluca dos livros.,O curiso caso da menina que criou 30 mil lvros.,246,219
Como Eu Era Antes de Você.,"Inspirador, amoroso, impaciente e brutal, Como eu era antes de você é a obra que tem mais emocão e amor de Jojo Moyes, sobre o amor e a tragédia que é tentar saber viver e amar ao mesmo tempo.",52,58
A Vida do Zé Chinelão,"Onde Vive, do que se alimenta?",56,44
ragna,um humano que mata dragoes,65,55
O amor nos tempos do cólera,"Em O Amor Nos Tempos do Cólera, García Márquez utiliza a sua própria vivência amorosa e a de seus pais, para criar um romance inspirado nas angústias do primeiro amor e na potência desse sentimento. Uma história que não é incomum aos nossos ouvidos e existência",59,52
